User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hi,Hi there,2024-12-04 08:54:21
what are exams i have to write after 10th,I am a chatbot,2024-12-05 12:32:34
Which entrance exams do I need to prepare for,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-05 12:33:18
Which entrance exams do I need to prepare for,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-05 12:35:12
Which entrance exams do I need to prepare for,Focus on building a strong foundation in subjects like Math and Science to excel in competitive exams.,2024-12-05 14:38:40
what are technology-related careers?,"You can explore ITI or diploma courses in computer applications, programming, or networking. These courses provide practical skills to start a tech career early.",2024-12-05 14:43:15
suggest online courses after  10th standard,"Platforms like Coursera, Udemy, Khan Academy, and Skillshare offer excellent courses. You can learn programming, design, marketing, and more.",2024-12-06 13:20:15
is gaming good course,"Gaming offers roles like developer, designer, and tester. Learn programming languages like C++ and Unity, and consider courses in game design.",2024-12-06 13:20:49
